Species,Quantity,Sample,Abbr,Max Ht,Habitat
Poecilus cupreus,8,E4,Poe.cup,3,Edge
Pterostichus madidus,226,E4,Pte.mad,3,Edge
Pterostichus melanarius,4,E3,Pte.mel,15,Edge
Leistus fulvibarbis,2,E4,Lei.ful,3,Edge
Pterostichus niger,7,G5,Pte.nige,1.75,Grass
Pterostichus madidus,191,W6,Pte.mad,18,Wood
Pterostichus madidus,68,G4,Pte.mad,1.5,Grass
Pterostichus niger,9,G4,Pte.nige,1.5,Grass
Bembidion mannerheimii,21,G5,Bem.man,1.75,Grass
Bembidion lampros,2,G5,Bem.lam,1.75,Grass
Bembidion obtusum,1,G5,Bem.obt,1.75,Grass
Stomis pumicatus,3,G5,Sto.pum,1.75,Grass
Stomis pumicatus,7,G4,Sto.pum,1.5,Grass
Pterostichus madidus,72,G5,Pte.mad,1.75,Grass
Bembidion lampros,1,G4,Bem.lam,1.5,Grass
Pterostichus melanarius,1,G5,Pte.mel,1.75,Grass
Pterostichus nigrita,6,G5,Pte.nigr,1.75,Grass
Pterostichus vernalis,2,G5,Pte.ver,1.75,Grass
Pterostichus strenuus,24,G5,Pte.str,1.75,Grass
Abax parallelepipedus,133,G5,Aba.par,1.75,Grass
Calathus rotundicollis,8,G5,Cal.rot,1.75,Grass
Calathus fuscipes,3,G5,Cal.fus,1.75,Grass
Agonum fuliginosum,2,G5,Ago.ful,1.75,Grass
Poecilus cupreus,20,G5,Poe.cup,1.75,Grass
Amara plebeja,3,G3,Ama.ple,2,Grass
Pterostichus niger,9,W1,Pte.nige,17,Wood
Pterostichus strenuus,1,W6,Pte.str,18,Wood
Abax parallelepipedus,330,W6,Aba.par,18,Wood
Calathus rotundicollis,65,W6,Cal.rot,18,Wood
Abax parallelepipedus,80,G3,Aba.par,2,Grass
Calathus rotundicollis,1,G3,Cal.rot,2,Grass
Calathus fuscipes,2,G3,Cal.fus,2,Grass
Poecilus cupreus,20,G4,Poe.cup,1.5,Grass
Platynus assimilis,1,G3,Pla.ass,2,Grass
Amara plebeja,1,G5,Ama.ple,1.75,Grass
Nebria brevicollis,36,G4,Neb.bre,1.5,Grass
Notiophilus biguttatus,1,G4,Not.big,1.5,Grass
Notiophilus rufipes,1,G4,Not.ruf,1.5,Grass
Clivina fossor,6,G4,Cli.fos,1.5,Grass
Trechus quadristriatus,1,G4,Tre.qua,1.5,Grass
Bembidion biguttatum,9,G4,Bem.big,1.5,Grass
Bembidion guttula,2,G4,Bem.gut,1.5,Grass
Bembidion mannerheimii,16,G4,Bem.man,1.5,Grass
Agonum afrum,1,G3,Ago.afr,2,Grass
Pterostichus niger,19,W4,Pte.nige,18,Wood
Abax parallelepipedus,338,W3,Aba.par,18,Wood
Calathus rotundicollis,44,W3,Cal.rot,18,Wood
Platynus assimilis,15,W3,Pla.ass,18,Wood
Carabus violaceus,3,W4,Car.vio,18,Wood
Cychrus caraboides,2,W4,Cyc.car,18,Wood
Leiodes rufipennis,35,W4,Lei.ruf,18,Wood
Nebria brevicollis,132,W4,Neb.bre,18,Wood
Agonum afrum,6,G5,Ago.afr,1.75,Grass
Pterostichus madidus,231,W4,Pte.mad,18,Wood
Pterostichus strenuus,1,W1,Pte.str,17,Wood
Pterostichus melanarius,1,W4,Pte.mel,18,Wood
Pterostichus strenuus,2,W4,Pte.str,18,Wood
Abax parallelepipedus,253,W4,Aba.par,18,Wood
Calathus rotundicollis,70,W4,Cal.rot,18,Wood
Platynus assimilis,4,W4,Pla.ass,18,Wood
Carabus violaceus,1,W5,Car.vio,17,Wood
Cychrus caraboides,2,W5,Cyc.car,17,Wood
Leiodes rufipennis,50,W5,Lei.ruf,17,Wood
Notiophilus biguttatus,3,W4,Not.big,18,Wood
Carabus violaceus,3,W1,Car.vio,17,Wood
Notiophilus biguttatus,4,W6,Not.big,18,Wood
Amara communis,1,G5,Ama.com,1.75,Grass
Calathus rotundicollis,3,G6,Cal.rot,1.75,Grass
Calathus fuscipes,4,G6,Cal.fus,1.75,Grass
Synuchus nivalis,1,G6,Syn.niv,1.75,Grass
Agonum afrum,7,G6,Ago.afr,1.75,Grass
Platynus assimilis,8,G6,Pla.ass,1.75,Grass
Amara plebeja,1,G6,Ama.ple,1.75,Grass
Pterostichus niger,30,W3,Pte.nige,18,Wood
Badister bullatus,1,G6,Bad.bul,1.75,Grass
Calathus rotundicollis,93,W1,Cal.rot,17,Wood
Cychrus caraboides,1,W1,Cyc.car,17,Wood
Leistus spinibarbis,1,W1,Lei.spi,17,Wood
Leiodes rufipennis,11,W1,Lei.ruf,17,Wood
Nebria brevicollis,155,W1,Neb.bre,17,Wood
Notiophilus biguttatus,2,W1,Not.big,17,Wood
Pterostichus madidus,380,W1,Pte.mad,17,Wood
Carabus violaceus,3,E1,Car.vio,5.5,Edge
Platynus assimilis,3,G5,Pla.ass,1.75,Grass
Bradycellus sharpi,1,G6,Bra.sha,1.75,Grass
Acupalpus dubius,1,G5,Acu.dub,1.75,Grass
Pterostichus niger,40,W6,Pte.nige,18,Wood
Acupalpus dubius,1,G4,Acu.dub,1.5,Grass
Badister bullatus,2,G4,Bad.bul,1.5,Grass
Leistus ferrugineus,1,G4,Lei.fer,1.5,Grass
Nebria brevicollis,32,G5,Neb.bre,1.75,Grass
Clivina fossor,3,G5,Cli.fos,1.75,Grass
Trechus quadristriatus,1,G5,Tre.qua,1.75,Grass
Amara plebeja,2,G4,Ama.ple,1.5,Grass
Bradycellus sharpi,1,G5,Bra.sha,1.75,Grass
Platynus assimilis,6,G4,Pla.ass,1.5,Grass
Badister bullatus,1,G5,Bad.bul,1.75,Grass
Nebria brevicollis,30,G6,Neb.bre,1.75,Grass
Notiophilus rufipes,3,G6,Not.ruf,1.75,Grass
Clivina fossor,2,G6,Cli.fos,1.75,Grass
Trechus quadristriatus,1,G6,Tre.qua,1.75,Grass
Bembidion biguttatum,4,G6,Bem.big,1.75,Grass
Bembidion mannerheimii,12,G6,Bem.man,1.75,Grass
Bembidion lampros,2,G6,Bem.lam,1.75,Grass
Bembidion biguttatum,4,G5,Bem.big,1.75,Grass
Pterostichus nigrita,6,G4,Pte.nigr,1.5,Grass
Bembidion biguttatum,4,G3,Bem.big,2,Grass
Bembidion mannerheimii,13,G3,Bem.man,2,Grass
Bembidion lampros,3,G3,Bem.lam,2,Grass
Poecilus cupreus,10,G3,Poe.cup,2,Grass
Pterostichus madidus,48,G3,Pte.mad,2,Grass
Pterostichus niger,4,G3,Pte.nige,2,Grass
Pterostichus melanarius,1,G3,Pte.mel,2,Grass
Amara similata,1,G4,Ama.sim,1.5,Grass
Pterostichus strenuus,8,G3,Pte.str,2,Grass
Poecilus cupreus,25,G6,Poe.cup,1.75,Grass
Pterostichus vernalis,2,G4,Pte.ver,1.5,Grass
Pterostichus strenuus,24,G4,Pte.str,1.5,Grass
Abax parallelepipedus,99,G4,Aba.par,1.5,Grass
Calathus rotundicollis,5,G4,Cal.rot,1.5,Grass
Calathus fuscipes,4,G4,Cal.fus,1.5,Grass
Synuchus nivalis,1,G4,Syn.niv,1.5,Grass
Agonum afrum,4,G4,Ago.afr,1.5,Grass
Agonum viduum,1,G4,Ago.vid,1.5,Grass
Pterostichus nigrita,3,G3,Pte.nigr,2,Grass
Pterostichus melanarius,1,W5,Pte.mel,17,Wood
Leistus spinibarbis,1,W3,Lei.spi,18,Wood
Leiodes rufipennis,18,W3,Lei.ruf,18,Wood
Nebria brevicollis,199,W3,Neb.bre,18,Wood
Notiophilus biguttatus,1,W3,Not.big,18,Wood
Pterostichus madidus,146,W3,Pte.mad,18,Wood
Nebria brevicollis,148,W5,Neb.bre,17,Wood
Notiophilus biguttatus,6,W5,Not.big,17,Wood
Bembidion obtusum,1,G6,Bem.obt,1.75,Grass
Pterostichus niger,20,W5,Pte.nige,17,Wood
Platynus assimilis,15,W2,Pla.ass,16,Wood
Pterostichus strenuus,1,W5,Pte.str,17,Wood
Abax parallelepipedus,298,W5,Aba.par,17,Wood
Calathus rotundicollis,99,W5,Cal.rot,17,Wood
Platynus assimilis,5,W5,Pla.ass,17,Wood
Carabus violaceus,2,W6,Car.vio,18,Wood
Cychrus caraboides,1,W6,Cyc.car,18,Wood
Leiodes rufipennis,33,W6,Lei.ruf,18,Wood
Nebria brevicollis,147,W6,Neb.bre,18,Wood
Pterostichus madidus,255,W5,Pte.mad,17,Wood
Leiodes rufipennis,29,W2,Lei.ruf,16,Wood
Clivina fossor,1,G3,Cli.fos,2,Grass
Pterostichus madidus,79,G6,Pte.mad,1.75,Grass
Pterostichus niger,9,G6,Pte.nige,1.75,Grass
Pterostichus nigrita,6,G6,Pte.nigr,1.75,Grass
Pterostichus vernalis,2,G6,Pte.ver,1.75,Grass
Pterostichus strenuus,17,G6,Pte.str,1.75,Grass
Abax parallelepipedus,105,G6,Aba.par,1.75,Grass
Platynus assimilis,10,W1,Pla.ass,17,Wood
Cychrus caraboides,2,W3,Cyc.car,18,Wood
Cychrus caraboides,1,W2,Cyc.car,16,Wood
Carabus violaceus,8,W3,Car.vio,18,Wood
Nebria brevicollis,178,W2,Neb.bre,16,Wood
Notiophilus biguttatus,3,W2,Not.big,16,Wood
Pterostichus madidus,212,W2,Pte.mad,16,Wood
Pterostichus niger,39,W2,Pte.nige,16,Wood
Pterostichus strenuus,1,W2,Pte.str,16,Wood
Abax parallelepipedus,368,W2,Aba.par,16,Wood
Calathus rotundicollis,60,W2,Cal.rot,16,Wood
Stomis pumicatus,7,G6,Sto.pum,1.75,Grass
Carabus violaceus,6,W2,Car.vio,16,Wood
